"javascript","javascript"
"python","python"
"java","java"
"google-app-engine","java"
"swing","java"
"swt","java"
"mootools","javascript"
"struts","java"
"hibernate","java"
"seam","java"
"tapestry","java"
"struts2","java"
"jmeter","java"
"scons","python"
"parser-generator","r"
"pyparsing","python"
"eclipse","java"
"ant","java"
"lucene","java"
"django","python"
"jquery","javascript"
"gwt","javascript"
"dojo","javascript"
"jackson","java"
"maven","java"
"gson","java"
"google-chrome-extension","javascript"
"flask","python"
"playframework","java"
"spring","java"
"r","r"
"solr","java"
"guice","java"
"guava","java"
"freemarker","java"
"html","javascript"
"sqlalchemy","python"
"wicket","java"
"grails","java"
"wxwidgets","python"
"jasper-reports","java"
"yui-compressor","javascript"
"matplotlib","python"
"zxing","java"
"waf","python"
"tinymce","javascript"
"eclipselink","java"
"junit","java"
"datanucleus","java"
"ajax","javascript"
"igraph","r"
"nunit","java"
"flot","javascript"
"qooxdoo","javascript"
"proj4js","javascript"
"node.js","javascript"
"extjs","javascript"
"jetty","java"
"celery","python"
"opencv","python"
"itext","java"
"spring-mvc","java"
"caliper","java"
"applet","java"
"scribe","java"
"jnlp","java"
"log4javascript","javascript"
"teamcity","java"
"refinerycms","javascript"
"jmf","java"
"java-web-start","java"
"liferay","java"
"cookies","javascript"
"jax-rs","java"
"toplink","java"
"genshi","python"
"eclipse-rcp","java"
"jenkins","java"
"yui","javascript"
"netbeans","java"
"abap","r"
"ext.net","javascript"
"eclipse-plugin","java"
"svnkit","java"
"spring-roo","java"
"webwork","java"
"jquery-ui","javascript"
"sammy.js","javascript"
"backbone.js","javascript"
"google-maps-api-3","javascript"
"pygtk","python"
"scrapy","python"
"npm","javascript"
"osgi","java"
"raphael","javascript"
"catalyst","java"
"google-closure","javascript"
"mongoose","javascript"
"bonecp","java"
"pyramid","python"
"application-server","java"
"javadoc","java"
"plone","python"
"ormlite","java"
"celerity","java"
"elementtree","python"
"firebug","javascript"
"shiro","java"
"pdfbox","java"
"wtforms","python"
"ironpython","python"
"berkeley-db","java"
"berkeley-db-je","java"
"jslint","javascript"
